id_direccion,Direccion,Referencia ,id_establecimiento,Parroquia;
"148,RODEO S/N S/N,"" subir por la calle Honorato Vasquez y virar en la Luis Cordero, el hotel esta a 30 metros de la esquina. "",148,EL SAGRARIO";
"149,AV. 12 DE ABRIL Y LOJA,,149,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
"150,jose joaquin de olmedo 2-62 Vicente rocafuerte,,150,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
151,AV. 12 DE ABRIL 11-05 CORNELIO MERCHÁN, TUTUPALI ,151,TARQUI;
"152,LUIS MORENO MORA 6-108 AV. SOLANO,,152,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
153,HURTADO DE MENDOZA S/N Y CORDILLERA, a una cuadra de la chola cuencana ,153,SAN BLAS;
154,GRAN COLOMBIA 1-82 MANUEL VEGA,huaynacapac,154,HUAYNACÁPAC;
155,VIA A SAN JOAQUIN,A UNA CUADRA Y MEDIA DEL COLEGIO LA SALLE,155,HUAYNACÁPAC;
"156,HERMANO MIGUEL 4-36 Y CALLE LARGA,,156,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
157,GRAN COLOMBIA 11-15 GENERAL TORRES,A MEDIA CUADRA DE FLOTA IMBABURA,157,SAN BLAS;
"158,Galápagos 172 Y Av. Loja,,158,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
"159,LUIS CORDERO 9.32 BOLIVAR,,159,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
160,AV DEL MIRADOR S/N TURI CENTRO, A una cuadra del Templo de Santo Domingo y a 3 cuadras del Parque Calderón. ,160,GIL RAMÍREZ DÁVALOS;
161,EL PEDREGAL Y GIL RAMIREZ DAVALOS, Junto al colegio a Distancia CEPIA ingresando desde la Av. Loja ,161,SUCRE;
162,FRANCISCO DE ORELLANA Y FRAY VICENTE SOLANO,CENTRO,162,EL SAGRARIO;
163,SUCRE  680 BORRERO,TURI,163,TURI;
"164,BENIGNO MALO 5-54 Y CALLE LARGA ,,164,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
"165,AV RICARDO DURAN Y ALFONSO CARRION,,165,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
"166,AV. RICARDO DURAN  S/N CALLE ALFONSO CARRIÓN HEREDIA,"" A UNA CUADRA DEL PARQUE CALDERON, FRENTE AL BANCO GUAYAQUIL "",166,EL SAGRARIO";
"167,AV. 3 DE NOVIEMBRE 1-48 Y C. TALBOT,,167,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
"168,AV D ELAS AMERICAs s/n daniel alvarado,,168,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
169,CHAPETONES. 1-52 AV. GIL RAMIREZ DAVALOS., BAÑOS AV. RICARDO DURÁN FRENTE A LA HOSTERÍA DURÁN ,169,BAÑOS;
"170,AV DE LAS AMERICAS Y JUAN PIO MONTUFAR,,170,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
171,Bolivar 14 11 Estevez de toral, diagonal al centro cristiano ,171,SAN SEBASTIÁN;
172,VIA A SIDCAY CALLE JULIA BERNAL S/N S/N,FRENTE A LAS BODEGAS DEL TERMINAL TERRESTRE.,172,HUAYNACÁPAC;
