id_Parroquia,nombre,cabecera,Id_Canton,id_direccion
"246,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"247,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"248,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"249,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"250,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"251,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"252,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"253,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"254,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"255,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"256,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"257,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"258,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"259,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"260,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"261,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"262,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"263,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"264,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"265,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"266,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"267,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"268,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"269,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"270,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"271,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"272,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"273,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"274,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"275,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"276,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"277,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"278,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"279,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"280,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"281,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"282,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"283,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"284,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"285,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"286,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"287,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"288,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"289,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"290,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"291,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"292,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"293,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"294,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"295,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"296,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"297,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"298,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"299,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"300,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"301,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"302,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"303,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"304,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"305,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"306,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"307,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"308,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"309,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"310,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"311,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"312,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"313,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"314,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"315,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"316,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
